index,m0,A,int,SN,mult
33,3020.53831965568,154.090209343469,763.723632162783,18.4117615230831,2
53,3026.18360061286,196.675113943092,975.484694825765,19.1907448206395,2
76,3033.01376328234,222.858658889046,1106.30574881999,38.6275880853205,1
120,3045.64383826432,333.674607440505,1659.05457986694,36.206534903815,2
139,3051.13530520439,184.13222136064,916.152518931555,38.8493635929185,2
187,3065.11520051013,191.199773658839,952.992209903188,22.7163962930365,1
273,3089.89479457652,1106.66012098726,5533.08225938932,34.4334183221862,1
296,3096.76297447904,320.49109446201,1603.77159594324,22.1238482585479,1
351,3112.85215442056,627.179211243298,3144.7949323233,47.2259265136605,1
386,3123.01414605353,100.154688293451,502.832286685807,8.23676047696872,1
431,3136.07138835205,431.925731790773,2172.04171263766,44.0397352306593,1
455,3143.14418992903,271.25782282696,1365.28699954443,37.1036543311523,4
474,3148.75468514301,215.287462946773,1084.33550977699,29.6595932042182,4
513,3160.44368012505,477.586419831722,2408.95141625352,27.3217213329426,4
539,3168.10564897621,231.382964385465,1168.20928462166,16.8129716251675,4
585,3181.65100183672,224.136365526765,1133.52505013133,25.4428762432543,2
609,3188.60775618059,141.678809008778,717.130005919349,10.6429604538506,2
33,3205.4096176757,688.800164304088,3493.72465945593,39.4996072386056,1
85,3220.8871340025,902.35296882087,4585.65664625519,31.5684716353218,2
106,3226.87017356016,451.254673949974,2294.9175266203,46.1874816807701,2
160,3243.23180259014,270.349287007751,1377.67023003648,27.4872419132826,2
182,3249.64178738334,444.393257840069,2266.36418347577,31.4753226936189,2
232,3264.76804126926,133.323629333118,681.201819106161,11.7258483466512,3
250,3270.13195544169,313.022954042388,1600.40709244226,29.6095782637064,3
271,3276.3714560762,139.874497293256,715.689781467519,13.7677584940565,3
313,3289.05353722749,332.970342947763,1706.34108479926,32.0427192146734,3
334,3295.30510263807,186.453141830055,956.228907361281,18.9476613527857,3
353,3300.90673650787,115.245513935635,591.443608306054,13.5194758148311,3
49,3320.18584843403,1646.95824883875,8472.13866858287,32.0770833399147,1
72,3327.3020308614,351.778084810353,1811.15475807634,22.773728392531,2
95,3334.2410743292,319.982947707899,1648.84658816497,40.8560638358038,2
208,3368.66982530028,300.975046327233,1557.39376929621,33.0005022935662,2
225,3373.7218861245,231.310715613653,1197.64835263394,42.7988429772917,2
316,3401.53211244077,393.07885635884,2042.07906312327,46.3157859884703,1
21,3424.3597031101,279.402748579417,1455.51850953128,27.5825774701779,1
51,3433.69911149464,425.215650664899,2217.603667082,23.0637055554856,3
88,3444.96121274716,208.871364427427,1090.78934313147,22.7377648156198,3
110,3451.76811510396,527.855769572429,2758.87380008513,58.5848079361893,3
164,3468.61878093197,419.035980656226,2194.5445666232,27.441806982745,2
185,3474.94121569448,261.702918122827,1371.60820801928,30.0741762729461,2
224,3487.07965123807,224.842830505933,1180.13147391723,18.0753567913936,3
247,3494.27602903479,202.539398374569,1063.9809189725,13.0262429990772,3
273,3502.23096129059,189.951593240026,998.801489594499,15.1117704870796,3
304,3511.83838965221,355.492513483383,1871.38724394687,38.4872584311669,2
329,3519.64660071424,244.81321574265,1289.94603642658,21.1533625752921,2
24,3537.83325581253,127.435988395884,672.925667462027,14.6969301941245,2
44,3544.02719158305,157.476509485181,832.165848325114,17.6730665342806,2
83,3556.24417569316,578.751491815845,3062.77401912347,33.5790704980936,1
108,3564.18076451667,603.500117772139,3196.74609527233,35.4547353631578,1
144,3575.26658438898,115.615540541909,613.219824083279,20.3097843710425,2
169,3583.11297635224,148.455082292058,788.129267355123,24.3593366199546,2
220,3599.08887543327,208.902024993021,1111.1257970874,38.4787118329456,1
38,3631.10549841116,101.527918783331,542.052248436942,11.9751630329494,2
63,3639.14032119892,130.554839406554,697.682796891634,17.133187779653,2
96,3649.38591710423,86.3653267600317,462.089300431469,13.1708834584246,1
145,3664.98340808275,77.5189287232432,415.515178680429,13.9610927681294,3
175,3674.38757644985,89.0775017077381,477.99611306646,11.7504921752982,3
205,3684.19943867463,459.923049357004,2470.80714079545,25.5968069489547,3
227,3691.24578360189,219.939492499394,1182.53417279506,17.7558328283912,4
242,3695.7485706916,282.747733282409,1521.0289114365,33.8260465998511,4
291,3711.67927988151,343.414333381367,1850.81045109372,34.002843334785,4
318,3720.07737996761,173.963159055492,938.47925573964,26.2101799368856,4
351,3730.72012075658,254.334255435269,1373.75350378553,23.7343517601394,1
386,3742.09572691171,89.1143871661949,481.975052951247,13.3046263062809,2
403,3747.45161307274,78.3904897289493,424.237962608281,13.8725875722597,2
24,3760.04894516987,208.222954846763,1128.51615005265,27.9555844120611,5
42,3765.9468033438,139.246462300971,755.195506859162,31.3426419246582,5
65,3773.11784035595,81.1657566930813,440.562735958371,12.4557372826449,5
91,3781.73040271127,423.94088401069,2303.41305143214,30.5712443443072,5
105,3786.23419086115,151.356253852598,822.796472609103,39.0304346603532,5
39,3804.45065644792,180.485395009718,983.207354254424,13.82190734918,1
69,3814.21298297644,207.248798528184,1130.27078693117,18.6205425480532,3
96,3822.88421377107,491.511109368817,2683.22017743346,25.3756159218283,3
121,3831.14012427833,403.927067832311,2207.17773389058,24.725793195124,3
172,3847.78895076491,274.040020363556,1500.29526008966,31.645968433489,1
249,3872.82282406709,79.207221155261,434.880734434513,16.7050085337131,1
61,3898.71318542258,243.871824665291,1342.9147687598,23.3645867056395,1
103,3912.38146445533,379.898480438929,2095.21870088939,29.6738304227105,1
152,3928.56204569536,327.894456990942,1811.73041462398,30.0900283203214,1
189,3940.76598618687,207.191399404859,1146.38872061769,27.8576190093892,1
235,3956.017382476,123.019141153332,681.839853760461,17.5501146378679,3
252,3961.4731248782,296.986766977021,1647.07961451121,35.9304567848373,3
279,3970.64449939682,113.242688785712,628.691346233612,24.1770589435539,3
321,3984.34443226656,229.732758476866,1277.38347477286,31.552165367119,2
347,3993.20767614661,90.6567828733915,504.582589261791,8.99353629922953,2
420,4017.38235254821,621.504703347085,3468.62069863821,28.6011911905242,2
440,4023.95548455941,333.456116368628,1862.39367231438,32.5267289034046,2
485,4038.95384890103,179.390165194175,1003.60228617108,19.3008659030065,1
524,4052.08719105316,104.874305365601,587.584748453679,14.0011603903401,3
543,4058.44296390187,136.838300641503,767.21609254338,25.7245756085111,3
557,4063.23543907529,102.1279777268,572.911216407073,19.3952485221193,3
31,4081.50925259565,84.1204287342679,472.856854918989,9.49724151427352,1
78,4097.41102207065,259.525889652336,1461.43025631848,28.7728108456703,2
104,4105.92443476838,379.99233265649,2141.82255539562,30.5088103106606,2
137,4117.19796715991,128.870399865137,727.286975058138,18.3061479148916,1
176,4130.24176976116,263.438547437498,1488.88278349386,29.249706327346,1
211,4142.05244323921,349.626363475917,1978.58040535802,29.2093706637578,1
264,4160.08591197125,7048.14296864962,39965.992136849,34.8038516618271,1
326,4180.98953019786,807.67244906703,4590.4287904969,32.7667381867148,1
358,4192.17643109824,2403.6500117155,13678.0615887004,34.9934591873792,1
385,4201.12726281825,418.596614693856,2384.3878100808,19.065416980311,1
424,4214.43474276417,272.257416773573,1553.0886004162,36.4404023876729,1
19,4247.11933574321,181.599612513521,1039.65186811811,28.0684468901455,1
51,4257.81252741304,130.766561093465,749.510544085845,13.819699943524,1
91,4271.52516708968,75.3856161208273,432.733122684927,15.3375477538734,2
111,4278.61938574321,20.9936327195672,120.602261912579,11.7325035798655,2
31,4291.56240712233,487.802469211966,2806.23848499391,28.9766947571247,1
55,4299.94211451587,569.5802519859,3279.68203506666,39.3139864696732,1
95,4313.64670055826,73.1974056830255,422.10427576232,17.7727721352035,1
42,4347.50225035044,584.900129268143,3385.32680062535,129.032211375812,2
56,4352.44947712177,251.671468053057,1457.42233849237,88.241030040603,2
102,4368.4196879708,468.618873013326,2718.44835936105,41.9948669085285,1
