m0,mult
3021.80939296654,3
3027.15550638101,3
3033.47591109587,3
3045.86397091259,2
3051.50700434914,2
3062.38858595802,4
3065.14711035491,4
3067.7091288001,4
3072.34813624251,4
3089.94632363446,3
3095.65580441285,3
3100.5836044214,3
3113.0615845721,1
3120.23220994409,1
3135.81000634628,10
3142.69724705622,10
3148.31109379928,10
3155.94204251679,10
3160.57887603607,10
3166.93531529892,10
3172.08056702081,10
3181.60437170727,10
3185.34810526398,10
3188.12877590857,10
3204.88821820664,4
3210.16323936015,4
3221.07000975018,4
3226.9913130778,4
3243.78989742839,6
3249.64607571928,6
3254.05097398085,6
3266.99124645496,6
3272.10522426407,6
3275.68322170748,6
3289.46008922652,3
3296.11000947698,3
3300.70796360057,3
3314.21641394432,2
3320.38190028929,2
3327.23159295303,3
3333.18035732923,3
3339.86179271659,3
3355.42455624817,4
3363.23879363322,4
3370.0209392431,4
3374.03853973317,4
3384.52790710041,2
3389.00105254417,2
3401.77497337554,2
3406.97287321006,2
3412.41249609284,1
3424.22843919085,1
3433.35502666516,3
3445.92285180152,3
3452.19755176811,3
3469.03232692862,9
3475.50444390397,9
3479.6363780547,9
3486.78687392529,9
3493.33471990211,9
3500.64930152725,9
3512.38611159118,9
3519.79656665657,9
3523.16610506476,9
3539.73874356374,3
3543.81905403616,3
3546.31379639351,3
3556.54435211714,2
3564.51942195022,2
3575.36169800358,2
3583.09405437066,2
3595.44821201613,2
3600.77186811208,2
3631.25733346582,9
3639.25031478601,9
3648.77749961345,9
3653.60870232282,9
3659.79649738564,9
3666.19938586983,9
3674.68515953533,9
3678.12495918692,9
3684.04267669902,9
3691.6651625327,10
3695.49249501867,10
3703.14807446831,10
3711.35193043592,10
3718.25193517025,10
3724.97163325512,10
3730.44965510621,10
3735.09692480637,10
3738.00650023214,10
3746.49596180785,10
3761.04233687158,5
3767.58571359864,5
3771.82078229895,5
3782.34982705461,5
3786.40485805074,5
3806.54028861663,4
3814.33721124445,4
3823.08572159221,4
3831.05669668907,4
3844.17551954912,2
3848.18131503485,2
3872.99895578518,1
3898.98719243257,1
3912.31503168951,1
3929.03889406169,1
3941.60801730278,1
3956.02686565726,3
3961.21327507612,3
3971.69655494304,3
3979.51259341292,3
3985.23067118912,3
3995.62507632765,3
4010.97854253912,5
4017.00657106388,5
4022.89130808923,5
4028.46208281519,5
4038.94912509081,5
4053.89434772018,2
4061.0905802055,2
4081.6807896333,1
4097.71260571467,3
4105.94502894009,3
4116.80304402789,3
4130.45074840203,1
4142.38749299711,1
4160.15974110152,1
4166.72642894546,2
4181.44457604458,2
4193.52914016096,1
4201.79484894506,4
4214.08163034345,4
4225.56753058651,4
4235.89676733147,4
4247.44733585575,1
4258.68042312958,1
4273.43056942304,2
4278.76352326335,2
4291.39170550366,2
4300.00558572874,2
4313.94461571152,2
4323.41123972606,2
4348.20092860945,2
4352.48347640251,2
4367.93879665485,1
4385.96946671875,2
4389.81499968912,2
4399.47252865369,1
4413.01140541811,3
4419.04387567067,3
4425.69072929101,3
4440.95056410899,2
4451.56685772017,2
4465.03051828288,1
4474.5958122474,2
4480.81291505099,2
4498.52365206473,1
4507.03301123945,4
4514.42545980303,4
4526.93406085981,4
4533.37780175896,4
4544.29202667788,2
4554.65687808339,2
4572.59253290388,6
4579.66209922443,6
4584.00364509944,6
4587.15756669298,6
4594.39115857949,6
4604.74544068224,6
4626.65281362569,2
4633.99320755298,2
4645.92053370059,5
4651.29551335697,5
4660.52339255089,5
4663.98166881604,5
4672.18019778966,5
4685.42712025765,4
4693.13577821853,4
4703.94131581617,4
4707.96286801672,4
4718.11602094991,1
4727.74506562906,3
4736.59999043844,3
4744.32703451261,3
